Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2017-04-04,"5 RFT: Power Cleans, Walking Lunges, and Thrusters",399000,true,false,42039,399000,6 mins 39 secs,Went out too hot ,"5 rounds of:
12 Power Cleans, 65 lbs
6 Walking Lunges, 65 lbs
3 Thrusters, 65 lbs"
2017-04-02,Cindy,11.133,true,false,88204,1200000,11 rounds + 2 Pull-ups | 332 reps,,"20:00 AMRAP:
5 Pull-ups
10 Push-ups
15 Air Squats"
2017-03-28,21-15-9: Push Press and Box Jumps,419000,true,false,21197,419000,6 mins 59 secs,"Step ups, got a set of 13 pp on the first round","21-15-9 reps of:
Push Press, 95 lbs
Box Jump, 20 in"
2017-03-28,Deadlift 4x3,1115.8372302,true,false,6207,,"2460 lbs | 205 lbs, 205 lbs, 205 lbs, and 205 lbs","","Sets
3 Deadlifts | 205 lbs
3 Deadlifts | 205 lbs
3 Deadlifts | 205 lbs
3 Deadlifts | 205 lbs"
2017-03-26,Split Jerk 1 Rep,77.1107029,true,false,300,,170 lbs | 170 lbs,Went for 175 but missed ,"Sets
1 Split Jerk | 170 lbs"
2017-03-26,"Row : 3x 1 km, rest 3 mins",771500,true,false,93741,771500,12 mins 51.5 secs,,"Intervals : rest 3 mins
Row, 1 km | 4:11.9
Row, 1 km | 4:19.3
Row, 1 km | 4:20.3"
2017-03-24,CrossFit Games Open 17.5,982000,true,false,66793,982000,16 mins 22 secs,"All thrusters unbroken,  5 of the rounds of dubs unbroken","10 rounds of:
9 Thrusters, 65 lbs
35 Double Unders"
2017-03-22,Every 1:30 for 10:30: Front Squat,857.2895793,true,false,5848,630000,1890 lbs,,"Every 1:30 for 10:30:
2 Front Squats | 135 lbs
2 Front Squats | 135 lbs
2 Front Squats | 135 lbs
2 Front Squats | 135 lbs
2 Front Squats | 135 lbs
2 Front Squats | 135 lbs
2 Front Squats | 135 lbs"
2017-03-22,AMRAP 5 mins: Squat Cleans and AbMat Sit-ups,3.81,true,false,29387,300000,3 rounds + 7 Squat Cleans + 13 AbMat Sit-ups | 104 reps,"","5:00 AMRAP:
7 Squat Cleans, 75 lbs
21 AbMat Sit-ups"
2017-03-22,AMRAP 5 mins: Hanging Knee Raises and Push Press,3.0,true,false,2780,300000,3 rounds | 84 reps,"","5:00 AMRAP:
21 Hanging Knee Raises
7 Push Press, 75 lbs"
2017-03-22,AMRAP 5 mins: Wall Balls and Pull-ups,1.6,true,false,10193,300000,1 round + 10 Wall Balls + 3 Pull-ups | 38 reps,Singles on pull ups,"5:00 AMRAP:
10 Wall Balls, 14 lbs
15 Pull-ups"
2017-03-21,AMRAP 10 mins: Lateral Burpee (Over Barbell)s and Power Snatches,2.833,true,false,44381,600000,2 rounds + 15 Lateral Burpee (Over Barbell)s + 10 Power Snatches | 85 reps,"","10:00 AMRAP:
15 Lateral Burpee (Over Barbell)s
15 Power Snatches, 75 lbs"
2017-03-21,Back Squat : 1 Rep Max,113.3980925,true,false,604,,250 lbs | 250 lbs,"10min to find after workout, felt solid","Sets
1 Back Squat | 250 lbs"
