,Date,Workout,Result,Prescribed,Work performed,Work time,Formatted Result,workout_name_length,Movements,power
0,2017-04-04,"5 RFT: Power Cleans, Walking Lunges, and Thrusters",399000.0,True,42039,399000.0,6 mins 39 secs,50,"lunge, walking lunge, clean, power clean, thruster",105.360902256
1,2017-04-02,Cindy:5 Pull-ups 10 Push-ups 15 Squats As many rounds as possible in 20 minutes,11.133,True,88204,1200000.0,11 rounds + 2 Pull-ups | 332 reps,5,"pull-up, push-up, squat",73.5033333333
2,2017-03-28,21-15-9: Push Press and Box Jumps,419000.0,True,21197,419000.0,6 mins 59 secs,33,"box jump, press, push press",50.5894988067
5,2017-03-26,"Row : 3x 1 km, rest 3 mins",771500.0,True,93741,771500.0,12 mins 51.5 secs,26,row,121.504860661
6,2017-03-24,CrossFit Games Open 17.5,982000.0,True,66793,982000.0,16 mins 22 secs,24,,68.017311609
7,2017-03-22,Every 1:30 for 10:30: Front Squat,857.2895793,True,5848,630000.0,1890 lbs,33,"front squat, squat",9.28253968254
8,2017-03-22,AMRAP 5 mins: Squat Cleans and AbMat Sit-ups,3.81,True,29387,300000.0,3 rounds + 7 Squat Cleans + 13 AbMat Sit-ups | 104 reps,44,"abmat sit-up, sit-up, clean, squat clean, squat",97.9566666667
9,2017-03-22,AMRAP 5 mins: Hanging Knee Raises and Push Press,3.0,True,2780,300000.0,3 rounds | 84 reps,48,"hanging knee raise, press, push press",9.26666666667
10,2017-03-22,AMRAP 5 mins: Wall Balls and Pull-ups,1.6,True,10193,300000.0,1 round + 10 Wall Balls + 3 Pull-ups | 38 reps,37,"pull-up, wall ball",33.9766666667
11,2017-03-21,AMRAP 10 mins: Lateral Burpee (Over Barbell)s and Power Snatches,2.833,True,44381,600000.0,2 rounds + 15 Lateral Burpee (Over Barbell)s + 10 Power Snatches | 85 reps,64,"burpee, lateral burpee (over barbell), power snatch, snatch",73.9683333333
13,2017-03-20,"5 RFT: 200 m, Dumbbell Walking Lunges, and Dumbbell Thrusters",930000.0,True,68913,930000.0,15 mins 30 secs,61,"lunge, walking lunge, dumbbell thruster, dumbbell walking lunge, thruster",74.1
14,2017-03-20,Every 1 min for 10 mins: Hang Snatch High Pulls and Hang Squat Snatches,10.0,True,4387,600000.0,10.0 rounds,71,"hang snatch, hang snatch high pull, hang squat snatch, snatch, snatch high pull, squat snatch, squat",7.31166666667
16,2017-03-17,CrossFit Games Open 16.4 / 17.4,165.0,True,65071,780000.0,165 reps,31,,83.4243589744
17,2017-03-15,"Chipper: Pistols (Alternating Legs)s, Wall Balls, Burpees, and Hang Power Snatches",750000.0,True,40195,750000.0,12 mins 30 secs,82,"burpee, pistol, pistols (alternating legs), hang power snatch, power snatch, snatch, wall ball",53.5933333333
19,2017-03-15,"""Tabata"" - AbMat Sit-ups : 8 x 20 secs / 10 secs",92.0,True,15150,240000.0,92 reps | 92,48,"abmat sit-up, sit-up",63.125
20,2017-03-14,"4 RFT: Power Cleans, Front Squats, and Burpees",1050000.0,True,70274,1050000.0,17 mins 30 secs,46,"burpee, clean, front squat, power clean, squat",66.9276190476
21,2017-03-14,Every 2 mins for 10 mins: Deadlift,1190.67997125,True,6719,600000.0,2625 lbs,34,deadlift,11.1983333333
22,2017-03-10,CrossFit Games Open 17.3 - Scaled / Scaled Teens 14-15 & Masters 55+,216.0,False,77414,1440000.0,216 reps,68,,53.7597222222
23,2017-03-07,"3 RFT: Hang Power Clean & Jerks, Wall Balls, and Pull-ups",947000.0,True,47776,947000.0,15 mins 47 secs,57,"pull-up, clean, clean & jerk, hang power clean, hang power clean & jerk, jerk, power clean, power clean & jerk, wall ball",50.4498416051
