,benchmark,move_list
0,amanda,"[u'Three rounds, 9-7- and 5 reps, of:', u'Muscle-up', u'135 pound Squat snatch']"
1,angie,"[u'100 Pull-ups', u'100 Push-ups', u'100 Sit-ups', u'100 Squats', u'For Time']"
2,annie,"[u'Double-unders', u'Sit-ups', u'50-40-30-20 and 10 rep rounds; for time.']"
3,barbara,"[u'20 Pull-ups', u'30 Push-ups', u'40 Sit-ups', u'50 Squats']"
4,chelsea,"[u'5 Pull-ups', u'10 Push-ups', u'15 Squats', u'Each minute on the minute for 30 minutes.']"
5,christine,"[u'3 rounds for time of:', u'500 m Row', u'12 BW Deadlift', u'21 Box Jumps']"
6,cindy,"[u'5 Pull-ups', u'10 Push-ups', u'15 Squats', u'As many rounds as possible in 20 minutes']"
7,diane,"[u'Deadlift 225 lbs', u'Handstand push-ups', u'21-15-9 reps, for time.']"
8,elizabeth,"[u'Clean 135 lbs', u'Ring Dips', u'21-15-9 reps, for time.']"
9,eva,"[u'Run 800 meters', u'2 pood kettlebell swing, 30 reps', u'30 pullups', u'5 rounds for time.']"
10,fran,"[u'Thruster 95 lbs', u'Pull-ups', u'21-15-9 reps, for time.']"
11,grace,"[u'Clean and Jerk 135 lbs', u'30 reps for time.']"
12,gwen,[u'Clean & Jerk 15-12- and 9 reps']
13,helen,"[u'400 meter run', u'1.5 pood Kettlebell swing x 21', u'Pull-ups 12 reps', u'3 rounds for time.']"
14,isabel,"[u'Snatch 135 lbs', u'30 reps for time.']"
15,jackie,"[u'1000 meter row', u'Thruster 45 lbs (50 reps)', u'Pull-ups (30 reps)', u'For time.']"
16,karen,"[u'150 Wallball shots, 20 lbs ball', u'For time']"
17,kelly,"[u'Run 400 meters', u'30 box jump, 24 inch box', u'30 Wallball shots, 20 pound ball', u'Five rounds for time.']"
18,linda,"[u'(aka ""3 bars of death"")', u'Deadlift 1 1/2 Bodyweight', u'Bench Bodyweight', u'Clean 3/4 Bodyweight', u'10/9/8/7/6/5/4/3/2/1 rep rounds for time.']"
19,lynne,"[u'Five rounds for max reps of:', u'Bodyweight bench press', u'Pull-ups']"
20,mary,"[u'5 Handstand push-ups', u'10 one-legged squats', u'15 Pull-ups', u'As many rounds as possible in 20 minutes.']"
21,nancy,"[u'400 meter run', u'Overhead squat 95 lbs x 15', u'5 rounds for time.']"
22,nicole,"[u'Run 400 meters', u'Max rep Pull-ups', u'As many rounds as possible in 20 minutes.']"
23,abbate,"[u'Run 1 mile', u'155 pound Clean and jerk, 21 reps', u'Run 800 meters', u'155 pound Clean and jerk, 21 reps', u'Run 1 Mile', u'For time']"
24,adam-brown,"[u'Two rounds', u'295 pound Deadlift, 24 reps', u'24 Box jumps, 24 inch box', u'24 Wallball shots, 20 pound ball', u'195 pound Bench press, 24 reps', u'24 Box jumps, 24 inch box', u'24 Wallball shots, 20 pound ball', u'145 pound Clean, 24 reps', u'For Time']"
25,adrian,"[u'Seven rounds for time of:', u'3 Forward rolls', u'5 Wall climbs', u'7 Toes to bar', u'9 Box jumps, 30"" box']"
26,arnie,"[u'With a single 2 pood kettlebell:', u'21 Turkish get-ups, Right arm', u'50 Swings', u'21 Overhead squats, Left arm', u'50 Swings', u'21 Overhead squats, Right arm', u'50 Swings', u'21 Turkish get-ups, Left arm', u'For Time']"
27,badger,"[u'95 pound Squat clean, 30 reps', u'30 Pull-ups', u'Run 800 meters', u'3 rounds for time.']"
28,blake,"[u'Four rounds for time of:', u'100 foot Walking lunge with 45lb plate held overhead', u'30 Box jump, 24 inch box', u'20 Wallball shots, 20 pound ball', u'10 Handstand push-ups']"
