,movement,frequency,move_class,,Equipment
0,airdyne bike,4,Monostructural,,bike
1,airdyne calories,7,Monostructural,,bike
2,assault bike,1,Monostructural,,bike
3,assault bike calories,3,Monostructural,,bike
4,"back stroke, swimming",1,Monostructural,,pool
5,bear crawl,4,Monostructural,,body
6,bike,3,Monostructural,,bike
7,bike ride (mountain bike),1,Monostructural,,bike
8,"crawl, swimming",1,Monostructural,,pool
9,double under,153,Monostructural,,jump rope
10,farmers walk (kettlebell),1,Monostructural,,kettlebell
11,handstand walk,7,Monostructural,,body
12,hike,1,Monostructural,,body
13,jump rope (heavy rope - light green),1,Monostructural,,jump rope
14,plate carry,1,Monostructural,,odd
15,prowler push,1,Monostructural,,odd
16,quad smash,5,Monostructural,,body
17,row,106,Monostructural,,rower
18,row calories,29,Monostructural,,rower
19,run,212,Monostructural,,body
20,run (backwards),3,Monostructural,,body
21,run (hill   weighted),1,Monostructural,,body
22,run (trueform),1,Monostructural,,body
23,run (weighted),3,Monostructural,,body
24,sandbag carry,2,Monostructural,,odd
25,sandbag run,4,Monostructural,,odd
26,shuttle run,4,Monostructural,,body
27,sled drag,5,Monostructural,,odd
28,sled pull,1,Monostructural,,odd
29,sprint,5,Monostructural,,body
30,swim,6,Monostructural,,pool
31,"swimming, flutter kick",1,Monostructural,,pool
32,vertical jump,1,Monostructural,,body
33,ab roller,1,Gymnastics,,body
34,abmat sit-up,62,Gymnastics,,body
35,air squat,63,Gymnastics,,body
36,ankle mobility,8,Gymnastics,,body
37,back extension,9,Gymnastics,,ghd
38,backward roll,1,Gymnastics,,body
39,banded muscle up transition,1,Gymnastics,,rings
40,banded shoulder stretch,1,Gymnastics,,body
41,bar dip,6,Gymnastics,,bars
42,bar dip (assisted),6,Gymnastics,,bars
43,bar dip (blue band),1,Gymnastics,,bars
44,bar facing burpee,10,Gymnastics,,body
45,barbell warm-up complex,1,Gymnastics,,barbell
46,barrier hop burpee,1,Gymnastics,,body
47,bench dip,2,Gymnastics,,bars
48,body row,6,Gymnastics,,rings
49,bound,1,Gymnastics,,body
50,box dip,2,Gymnastics,,bars
51,box jump,50,Gymnastics,,box
52,box jump (12 in.),2,Gymnastics,,box
53,box jump (16 in.),1,Gymnastics,,box
54,box jump (18 in.),16,Gymnastics,,box
55,box jump (20 in.),14,Gymnastics,,box
56,box jump (24 in.),10,Gymnastics,,box
57,box jump (30 in.),1,Gymnastics,,box
58,box jump (step up),1,Gymnastics,,box
59,box jump over,9,Gymnastics,,box
60,box step-up,2,Gymnastics,,box
61,bumper plate burpee,1,Gymnastics,,body
62,burpee,120,Gymnastics,,body
63,burpee (hand release),1,Gymnastics,,body
64,burpee box jump,6,Gymnastics,,box
65,burpee box jump over,4,Gymnastics,,box
66,burpee broad jump,3,Gymnastics,,body
67,burpee chest-to-bar pull-up ,1,Gymnastics,,pull bar
68,burpee onto plate,1,Gymnastics,,body
69,burpee over bar,3,Gymnastics,,body
70,burpee over box,1,Gymnastics,,box
71,burpee pull-up,4,Gymnastics,,pull bar
72,cartwheel,1,Gymnastics,,body
73,chest smash,1,Gymnastics,,body
74,chest stretch,4,Gymnastics,,body
75,chest-to-bar pull-up,16,Gymnastics,,pull bar
76,chest-to-bar pull-up (banded),4,Gymnastics,,pull bar
77,chest-to-bar pull-up (jumping),2,Gymnastics,,pull bar
78,chin over bar hold,2,Gymnastics,,pull bar
79,chin-up,2,Gymnastics,,pull bar
80,crab walk,1,Gymnastics,,body
81,dead hang pull up,1,Gymnastics,,pull bar
82,dip,8,Gymnastics,,bars
83,dolphin push-up,1,Gymnastics,,body
84,double unders (unbroken),3,Gymnastics,,jump rope
85,down dog,1,Gymnastics,,body
86,duck walk,1,Gymnastics,,body
87,elbow-to-toe,4,Gymnastics,,body
88,feet elevated ring row,1,Gymnastics,,rings
89,flexed arm hang,2,Gymnastics,,pull bar
90,flutter kicks (4 count),2,Gymnastics,,body
91,forward fold w/ shoulder ext,1,Gymnastics,,body
92,forward roll,1,Gymnastics,,body
93,frog jump,1,Gymnastics,,body
94,frog stretch,1,Gymnastics,,body
95,front rack mobility,2,Gymnastics,,body
96,front split,1,Gymnastics,,body
97,ghd hip extension,2,Gymnastics,,ghd
98,ghd sit-up,23,Gymnastics,,ghd
99,hand release push-up,24,Gymnastics,,body
100,handstand hold,22,Gymnastics,,body
101,handstand kick up (free standing),1,Gymnastics,,body
102,handstand push up - ab mat,1,Gymnastics,,body
103,handstand push-up,36,Gymnastics,,body
104,handstand push-up (box),6,Gymnastics,,body
105,handstand push-up (negative),1,Gymnastics,,body
106,handstand push-up skill session,1,Gymnastics,,body
107,hanging knee raise,4,Gymnastics,,pull bar
108,hanging l sit,1,Gymnastics,,pull bar
109,hanging leg raise,4,Gymnastics,,pull bar
110,hip extension,6,Gymnastics,,ghd
111,hollow hold,5,Gymnastics,,body
112,hollow rock,3,Gymnastics,,body
113,horizontal body weight row,1,Gymnastics,,rings
114,hs smash,2,Gymnastics,,body
115,ice skater,1,Gymnastics,,body
116,instep stretch,2,Gymnastics,,body
117,inverted burpee,3,Gymnastics,,body
118,iron cross,2,Gymnastics,,body
119,isometric ring hold,1,Gymnastics,,rings
120,jump rope (singles),4,Gymnastics,,jump rope
121,jumping alternating lunge,4,Gymnastics,,body
122,jumping bar muscle-up,3,Gymnastics,,pull bar
123,jumping pull-up,10,Gymnastics,,pull bar
124,jumping squat,7,Gymnastics,,body
125,karaoke,1,Gymnastics,,body
126,knee jump,3,Gymnastics,,body
127,kneeling shoulder stretch,5,Gymnastics,,body
128,knees to elbow,11,Gymnastics,,pull bar
129,knees to feet,1,Gymnastics,,body
130,knees-to-chest,5,Gymnastics,,pull bar
131,l sit,2,Gymnastics,,pull bar
132,l sit (hanging),2,Gymnastics,,pull bar
133,l sit on parallette,1,Gymnastics,,parallette
134,l sit tuck to extension,2,Gymnastics,,parallette
135,lat smash,1,Gymnastics,,body
136,lat/tri smash,1,Gymnastics,,body
137,lateral bar jump,1,Gymnastics,,body
138,lateral barrier jump,1,Gymnastics,,body
139,lateral burpee (over barbell),11,Gymnastics,,body
140,lateral jump,2,Gymnastics,,body
141,left side plank,1,Gymnastics,,body
142,legless rope climb,2,Gymnastics,,rope
143,lunge,4,Gymnastics,,body
144,max rep pull up,1,Gymnastics,,pull bar
145,mini band squat,2,Gymnastics,,body
146,monkey bar traverse,1,Gymnastics,,pull bar
147,mountain climbers,1,Gymnastics,,body
148,muscle up box progression,1,Gymnastics,,rings
149,muscle up progression,5,Gymnastics,,rings
150,muscle-up,3,Gymnastics,,rings
151,muscle-up (banded),4,Gymnastics,,rings
152,muscle-up (feet on ground),2,Gymnastics,,rings
153,"muscle-up (sub: 1 pull-up, 1 dip)",1,Gymnastics,,rings
154,muscle-up transition,3,Gymnastics,,rings
155,overhead walk,3,Gymnastics,,odd
156,overhead walking lunge with plate,2,Gymnastics,,odd
157,pancake stretch,3,Gymnastics,,body
158,parallel bar walk,1,Gymnastics,,bars
159,parallette dip,1,Gymnastics,,parallette
160,parallette pass through,1,Gymnastics,,parallette
161,parallette push-up,1,Gymnastics,,parallette
162,partner assisted glute ham raise,1,Gymnastics,,ghd
163,pass through,2,Gymnastics,,body
164,pigeon stretch,5,Gymnastics,,body
165,piriformis smash,1,Gymnastics,,body
166,pistol,8,Gymnastics,,body
167,pistol (assisted w/pole or wall),1,Gymnastics,,body
168,pistol (left leg),2,Gymnastics,,body
169,pistol (right leg),2,Gymnastics,,body
170,pistols (alternating legs),4,Gymnastics,,body
171,plank hold,8,Gymnastics,,body
172,plank walk,1,Gymnastics,,body
173,plyo push ups (height),1,Gymnastics,,body
174,press to hanstand practice,1,Gymnastics,,body
175,prone dislocate,7,Gymnastics,,body
176,prone snow angel,1,Gymnastics,,body
177,pull up (chin over bar),1,Gymnastics,,pull bar
178,pull-up,149,Gymnastics,,pull bar
179,pull-up (blue band),6,Gymnastics,,pull bar
180,pull-up (green band),4,Gymnastics,,pull bar
181,pull-up (negative),1,Gymnastics,,pull bar
182,pull-up (purple band),1,Gymnastics,,pull bar
183,pull-up (red band),3,Gymnastics,,pull bar
184,push up (deficit),1,Gymnastics,,body
185,push-up,75,Gymnastics,,body
186,push-up (clapping),1,Gymnastics,,body
187,push-up (knees),6,Gymnastics,,body
188,push-up (medicine ball),1,Gymnastics,,body
189,right side plank,1,Gymnastics,,body
190,ring dip,9,Gymnastics,,rings
191,ring dip (blue band),1,Gymnastics,,rings
192,ring dip (purple band),7,Gymnastics,,rings
193,ring dip (red band),3,Gymnastics,,rings
194,ring l sit,1,Gymnastics,,rings
